Feature,Class,Probability,MeanBeta
BA1,0,0.517,0.017097002701845623
BA1,1,0.511,0.008998761941084465
BA2,0,0.482,-0.019244157253063502
BA2,1,0.489,-0.01457722045230277
BA3,0,0.529,0.02080317484568661
BA3,1,0.5,0.00019403913223308946
BA5,0,0.495,-0.004073284805327341
BA5,1,0.512,-0.0012886450536724946
BA8,0,0.471,-0.019829065370289386
BA8,1,0.488,-0.018720438414101256
BA16,0,0.518,0.004178078486703244
BA16,1,0.519,0.02211181609897264
BA17,0,0.513,-0.017563502314988898
BA17,1,0.523,0.05594657809730314
BA22,0,0.796,0.5036390859196573
BA22,1,0.202,-0.4981895821292942
BA24,0,0.599,0.17046204703576803
BA24,1,0.381,-0.19262472256735047
BA25,0,0.852,0.6031813636761147
BA25,1,0.175,-0.5679736200978622
BA29,0,0.392,-0.19510909348167538
BA29,1,0.616,0.173154265904615
BA30,0,0.513,0.00891316427119337
BA30,1,0.501,-0.006043195171658768
BA33,0,0.449,-0.0777729362849295
BA33,1,0.527,0.06413509125623411
BA34,0,0.558,0.08667813912301396
BA34,1,0.46,-0.07296474906667436
BA37,0,0.477,-0.02909040449542514
BA37,1,0.501,0.014104766363995042
BA41,0,0.486,-0.02256608019757131
BA41,1,0.515,0.01707022005597639
BA51,0,0.483,-0.028110858357012714
BA51,1,0.495,-0.01790380139293181
BA59,0,0.77,0.43501264083483243
BA59,1,0.19,-0.4925048046419624
BA62,0,0.687,0.3335077206564607
BA62,1,0.294,-0.34893912065241073
BA63,0,0.529,0.024040454229585038
BA63,1,0.493,-0.0018946547656508769
BA65,0,0.49,-0.019176939600368207
BA65,1,0.495,-0.009755946951782668
BA70,0,0.862,0.71121170430524
BA70,1,0.134,-0.6970994919921238
BA74,0,0.45,-0.07891338260270185
BA74,1,0.553,0.0807042100304002
BA77,0,0.51,-0.02236104397502612
BA77,1,0.505,-0.00852897761983383
BA81,0,0.488,-0.03099879310819424
BA81,1,0.475,-0.01853613718062695
BA84,0,0.489,0.0008237289648959211
BA84,1,0.525,0.013400399319679674
BA99,0,0.526,0.04919930212339395
BA99,1,0.437,-0.10788696185871086
BA105,0,0.745,0.42771286131218056
BA105,1,0.238,-0.4315425317206325
BA108,0,0.674,0.2988021460882318
BA108,1,0.314,-0.276076035252606
BA111,0,0.79,0.5196107625966355
BA111,1,0.208,-0.55635259654485
BA115,0,0.651,0.2376418987787681
BA115,1,0.355,-0.2194417826979276
BA116,0,0.273,-0.33268349069842046
BA116,1,0.727,0.34145376075577705
BA121,0,0.513,0.02432312625955694
BA121,1,0.477,-0.0068781467464787025
BA122,0,0.541,0.042441192000141965
BA122,1,0.482,0.0010591715043958994
BA123,0,0.936,0.9424163074746924
BA123,1,0.066,-0.9334456411731717
BA126,0,0.486,-0.0291486964215111
BA126,1,0.511,-0.010203542777771904
BA127,0,0.474,-0.021904063650635904
BA127,1,0.512,0.008694475269315478
BA128,0,0.602,0.11680457007439177
BA128,1,0.435,-0.08445053320494897
BA129,0,0.631,0.2393651720571562
BA129,1,0.346,-0.2437651762768806
BA130,0,0.537,0.05492694682944873
BA130,1,0.46,-0.06672549973300936
BA139,0,0.461,-0.07313207309039223
BA139,1,0.537,0.07999768857672367
BA142,0,0.408,-0.13322782865628433
BA142,1,0.567,0.10162210589462108
BA143,0,0.111,-0.728750670039217
BA143,1,0.863,0.6948943858858307
BA146,0,0.868,0.6659825818068
BA146,1,0.132,-0.6225379658379947
BA148,0,0.308,-0.282014686869399
BA148,1,0.676,0.2936151657254978
BA150,0,0.526,0.030348970803056787
BA150,1,0.523,0.03544536795133574
BA151,0,0.735,0.3539397759227087
BA151,1,0.265,-0.340279971292147
BA152,0,0.582,0.12905147017843502
BA152,1,0.387,-0.16532031181750048
BA153,0,0.481,-0.03935054772036821
BA153,1,0.507,0.012716576155351806
BA154,0,0.479,-0.029714294150314447
BA154,1,0.485,-0.010862388909185136
BA157,0,0.49,0.012448721525538671
BA157,1,0.514,0.018096902420938983
BA162,0,0.66,0.26397094569568363
BA162,1,0.323,-0.2946537762596771
BA164,0,0.497,0.015793421529805465
BA164,1,0.507,0.023231146014103095
BA165,0,0.492,-0.017067287888770908
BA165,1,0.512,0.02062368440457989
BA172,0,0.55,0.09712524353310041
BA172,1,0.457,-0.06811711296780755
BA180,0,0.487,-0.021384956127864452
BA180,1,0.483,-0.019141177892677445
BA185,0,0.35,-0.21060182124475732
BA185,1,0.636,0.21719072398296435
BA190,0,0.883,0.7494019793748156
BA190,1,0.12,-0.7332679038716656
BA191,0,0.497,0.011086268973003223
BA191,1,0.5,-0.007113659977938056
BA192,0,0.394,-0.18025504841386072
BA192,1,0.595,0.15604741057111698
BA198,0,0.461,-0.04882175324054582
BA198,1,0.516,0.023554354921893107
BA200,0,0.794,0.5049004078752884
BA200,1,0.208,-0.48247501245888097
BA201,0,0.502,0.006716711924519379
BA201,1,0.512,0.012666688890633993
BA202,0,0.302,-0.36125350280965934
BA202,1,0.692,0.32982864087465397
BA203,0,0.487,-0.028433185244457922
BA203,1,0.49,-0.014432991594068564
BA204,0,0.325,-0.27642457339390425
BA204,1,0.674,0.2839147050792422
BA208,0,0.364,-0.23392567602641837
BA208,1,0.637,0.21937826473246586
BA209,0,0.469,-0.07242990124964806
BA209,1,0.566,0.09603853981332128
BA210,0,0.498,0.0053666469176689964
BA210,1,0.495,-0.015417556988698953
BA212,0,0.423,-0.1379721428107217
BA212,1,0.609,0.17320145763104614
BA213,0,0.268,-0.4077408727307155
BA213,1,0.745,0.43157552892406403
BA217,0,0.523,0.04265697916398978
BA217,1,0.47,-0.02212958737731291
BA224,0,0.508,0.024354364013692256
BA224,1,0.48,-0.013815916723046053
BA230,0,0.617,0.16986267007789327
BA230,1,0.36,-0.2116743715105367
BA236,0,0.413,-0.13553422337539348
BA236,1,0.581,0.12462232843214528
BA242,0,0.383,-0.17933698665672332
BA242,1,0.617,0.18494519961030753
BA245,0,0.669,0.2739850195682863
BA245,1,0.3,-0.31165232610358673
BA246,0,0.441,-0.06827682438970245
BA246,1,0.575,0.11240904355201566
BA247,0,0.398,-0.18074806791693265
BA247,1,0.61,0.1892045882635127
BA249,0,0.652,0.2065492132596928
BA249,1,0.359,-0.18188532295059145
BA250,0,0.671,0.29486420336906677
BA250,1,0.31,-0.2813399996071457
BA254,0,0.472,-0.01233620896010858
BA254,1,0.509,0.02629449081019486
BA255,0,0.511,0.023634538945317755
BA255,1,0.493,0.003744521660891658
BA263,0,0.446,-0.14204956343347094
BA263,1,0.59,0.1612939918205195
BA265,0,0.563,0.10146521391003707
BA265,1,0.443,-0.07437762491899018
BA273,0,0.348,-0.25777089707330497
BA273,1,0.675,0.2834700430512775
BA276,0,0.379,-0.1798747097690977
BA276,1,0.623,0.1731610799658374
BA279,0,0.745,0.43537967353078283
BA279,1,0.276,-0.40422140443128524
BA280,0,0.487,-0.028471252724327708
BA280,1,0.501,0.002143400893520745
BA283,0,0.834,0.6495828944424081
BA283,1,0.17,-0.6495059471068799
BA287,0,0.496,-0.013633346823001904
BA287,1,0.496,-0.0187678925239667
BA288,0,0.493,0.0013640453174266483
BA288,1,0.519,0.01669527271348646
BA291,0,0.493,-0.026300422103939933
BA291,1,0.492,-0.0019825475433040045
BA293,0,0.484,-0.03454090090754108
BA293,1,0.514,0.015074461868754989
